char	char_n	com_n	stroke_n	
亚伯拉罕	4	9	28	
的	1	2	8	
后裔	2	7	19	
大卫	2	2	6	
的	1	2	8	
子孙	2	3	9	
耶稣	2	4	21	
基督	2	7	24	
的	1	2	8	
家谱	2	6	24	
后裔	2	7	19	
子孙	2	3	9	
原文	2	5	14	
都	1	3	10	
作	1	2	7	
儿子	2	2	5	
下同	2	5	9	
亚伯拉罕生	5	10	33	
以	1	2	4	
撒	1	4	15	
以	1	2	4	
撒	1	4	15	
生	1	1	5	
雅	1	2	12	
各	1	2	6	
雅各生	3	5	23	
犹大	2	3	10	
和	1	2	8	
他	1	2	5	
的	1	2	8	
弟兄	2	4	12	
犹大	2	3	10	
从	1	2	4	
他	1	2	5	
玛氏	2	3	11	
生法勒斯	4	8	36	
和	1	2	8	
谢拉	2	5	20	
法勒斯	3	7	31	
生	1	1	5	
希斯仑	3	8	23	
希斯仑	3	8	23	
生亚兰	3	6	16	
亚兰生	3	6	16	
亚米	2	3	12	
拿	1	4	10	
达	1	2	6	
亚米	2	3	12	
拿	1	4	10	
达	1	2	6	
生	1	1	5	
拿	1	4	10	
顺	1	2	9	
拿	1	4	10	
顺	1	2	9	
生	1	1	5	
撒	1	4	15	
门	1	1	3	
撒	1	4	15	
门	1	1	3	
从	1	2	4	
喇合氏	3	7	22	
生波阿斯	4	9	32	
波阿斯	3	8	27	
从	1	2	4	
路得氏	3	8	28	
生	1	1	5	
俄	1	2	9	
备	1	2	8	
得	1	4	11	
俄	1	2	9	
备	1	2	8	
得	1	4	11	
生耶西	3	4	19	
耶西	2	3	14	
生	1	1	5	
大卫王	3	3	10	
大卫	2	2	6	
从	1	2	4	
乌利亚	3	5	17	
的	1	2	8	
妻子	2	4	11	
生	1	1	5	
所罗门	3	5	19	
所罗门	3	5	19	
生	1	1	5	
罗波安	3	6	22	
罗波安生	4	7	27	
亚比雅	3	5	22	
亚比雅生	4	6	27	
亚撒	2	6	21	
亚撒	2	6	21	
生	1	1	5	
约沙法	3	6	21	
约沙法生	4	7	26	
约兰	2	5	11	
约	1	2	6	
兰生	2	4	10	
乌	1	1	4	
西亚	2	3	12	
乌西亚生	4	5	21	
约坦	2	5	14	
约坦生	3	6	19	
亚哈斯	3	9	27	
亚哈斯生	4	10	32	
希西	2	4	13	
家	1	2	10	
希西	2	4	13	
家	1	2	10	
生	1	1	5	
玛	1	2	7	
拿	1	4	10	
西	1	1	6	
玛	1	2	7	
拿	1	4	10	
西	1	1	6	
生	1	1	5	
亚	1	2	6	
们	1	2	5	
亚	1	2	6	
们	1	2	5	
生	1	1	5	
约西亚	3	5	18	
百姓	2	4	14	
被	1	2	10	
迁	1	2	6	
到	1	2	8	
巴比伦	3	5	14	
的	1	2	8	
时候	2	5	17	
约西亚生	4	6	23	
耶哥尼雅	4	10	35	
和	1	2	8	
他	1	2	5	
的	1	2	8	
弟兄	2	4	12	
迁	1	2	6	
到	1	2	8	
巴比伦	3	5	14	
之后	2	4	9	
耶哥尼雅	4	10	35	
生	1	1	5	
撒	1	4	15	
拉	1	2	8	
铁	1	2	10	
撒	1	4	15	
拉	1	2	8	
铁	1	2	10	
生	1	1	5	
所	1	2	8	
罗巴伯	3	5	19	
所	1	2	8	
罗巴伯生	4	6	24	
亚比玉	3	4	25	
亚比玉	3	4	25	
生	1	1	5	
以	1	2	4	
利亚	2	4	13	
敬	1	4	12	
以	1	2	4	
利亚	2	4	13	
敬生亚	3	7	23	
所	1	2	8	
亚	1	2	6	
所	1	2	8	
生	1	1	5	
撒	1	4	15	
督	1	4	13	
撒	1	4	15	
督	1	4	13	
生亚金	3	5	19	
亚金生	3	5	19	
以	1	2	4	
律	1	2	9	
以	1	2	4	
律	1	2	9	
生	1	1	5	
以	1	2	4	
利亚撒	3	8	28	
以	1	2	4	
利亚撒	3	8	28	
生	1	1	5	
马	1	1	3	
但	1	3	7	
马	1	1	3	
但	1	3	7	
生	1	1	5	
雅	1	2	12	
各	1	2	6	
雅各生	3	5	23	
约瑟	2	5	19	
就是	2	6	21	
马利亚	3	5	16	
的	1	2	8	
丈夫	2	2	7	
那	1	2	6	
称为	2	4	14	
基督	2	7	24	
的	1	2	8	
耶稣	2	4	21	
是	1	2	9	
从	1	2	4	
马利亚生	4	6	21	
的	1	2	8	
这样	2	4	17	
从	1	2	4	
亚伯拉罕	4	9	28	
到	1	2	8	
大卫	2	2	6	
共有	2	3	12	
十四	2	4	7	
