char	char_n	com_n	stroke_n	
亚伯拉罕	4	9	28	
的	1	2	8	
后裔	2	7	19	
大卫	2	2	6	
子孙	2	3	9	
耶稣	2	4	21	
基督	2	7	24	
家谱	2	6	24	
原文	2	5	14	
都	1	3	10	
作	1	2	7	
儿子	2	2	5	
下同	2	5	9	
亚伯拉罕生	5	10	33	
以	1	2	4	
撒	1	4	15	
生	1	1	5	
雅	1	2	12	
各	1	2	6	
雅各生	3	5	23	
犹大	2	3	10	
和	1	2	8	
他	1	2	5	
弟兄	2	4	12	
从	1	2	4	
玛氏	2	3	11	
生法勒斯	4	8	36	
谢拉	2	5	20	
法勒斯	3	7	31	
希斯仑	3	8	23	
生亚兰	3	6	16	
亚兰生	3	6	16	
亚米	2	3	12	
拿	1	4	10	
达	1	2	6	
顺	1	2	9	
门	1	1	3	
喇合氏	3	7	22	
生波阿斯	4	9	32	
波阿斯	3	8	27	
路得氏	3	8	28	
俄	1	2	9	
备	1	2	8	
得	1	4	11	
生耶西	3	4	19	
耶西	2	3	14	
大卫王	3	3	10	
乌利亚	3	5	17	
妻子	2	4	11	
所罗门	3	5	19	
罗波安	3	6	22	
罗波安生	4	7	27	
亚比雅	3	5	22	
亚比雅生	4	6	27	
亚撒	2	6	21	
约沙法	3	6	21	
约沙法生	4	7	26	
约兰	2	5	11	
约	1	2	6	
兰生	2	4	10	
乌	1	1	4	
西亚	2	3	12	
乌西亚生	4	5	21	
约坦	2	5	14	
约坦生	3	6	19	
亚哈斯	3	9	27	
亚哈斯生	4	10	32	
希西	2	4	13	
家	1	2	10	
玛	1	2	7	
西	1	1	6	
亚	1	2	6	
们	1	2	5	
约西亚	3	5	18	
百姓	2	4	14	
被	1	2	10	
迁	1	2	6	
到	1	2	8	
巴比伦	3	5	14	
时候	2	5	17	
约西亚生	4	6	23	
耶哥尼雅	4	10	35	
之后	2	4	9	
拉	1	2	8	
铁	1	2	10	
所	1	2	8	
罗巴伯	3	5	19	
罗巴伯生	4	6	24	
亚比玉	3	4	25	
利亚	2	4	13	
敬	1	4	12	
敬生亚	3	7	23	
督	1	4	13	
生亚金	3	5	19	
亚金生	3	5	19	
律	1	2	9	
利亚撒	3	8	28	
马	1	1	3	
但	1	3	7	
约瑟	2	5	19	
就是	2	6	21	
马利亚	3	5	16	
丈夫	2	2	7	
那	1	2	6	
称为	2	4	14	
是	1	2	9	
马利亚生	4	6	21	
这样	2	4	17	
共有	2	3	12	
十四	2	4	7	
代	1	2	5	
至	1	2	6	
也	1	1	3	
有	1	1	6	
又	1	1	2	
降生	2	4	13	
事	1	3	8	
记	1	2	5	
在	1	2	6	
下面	2	7	12	
母亲	2	3	14	
已经	2	4	11	
许配	2	5	16	
了	1	1	2	
还	1	2	7	
没有	2	3	13	
迎娶	2	6	18	
就	1	4	12	
圣灵	2	4	12	
怀	1	2	7	
孕	1	2	5	
她	1	2	6	
个	1	1	3	
义人	2	2	5	
不	1	1	4	
愿意	2	6	27	
明明	2	4	16	
地	1	2	6	
羞辱	2	4	20	
想	1	3	13	
要	1	2	9	
暗暗	2	4	26	
把	1	2	7	
休	1	2	6	
正	1	2	5	
思念	2	4	17	
这	1	2	7	
主	1	2	5	
使者	2	4	16	
向	1	2	6	
梦	1	3	11	
中	1	1	4	
显现	2	4	17	
说	1	4	9	
不要	2	3	13	
怕	1	2	8	
只管	2	5	19	
娶	1	3	11	
过	1	2	6	
你	1	3	7	
马利亚来	4	6	23	
因	1	2	6	
来	1	1	7	
将	1	3	9	
一个	2	2	4	
给	1	4	9	
起	1	2	10	
名叫	2	4	11	
自己	2	3	9	
罪恶	2	4	23	
里	1	1	7	
救	1	2	11	
出	1	2	5	
一切	2	3	5	
成就	2	5	18	
应验	2	5	17	
借	1	3	10	
先知	2	4	14	
话	1	2	8	
必	1	1	5	
童女	2	3	15	
怀孕	2	4	12	
生子	2	2	8	
人	1	1	2	
称	1	3	10	
名	1	2	6	
为	1	1	4	
马内利	3	5	14	
翻	1	3	18	
神	1	2	9	
与	1	2	3	
我们	2	4	12	
同	1	3	6	
醒	1	3	16	
起来	2	3	17	
遵	1	4	15	
着	1	2	11	
主使	2	4	13	
者	1	2	8	
吩咐	2	6	15	
过来	2	3	13	
只	1	2	5	
房	1	2	8	
等	1	3	12	
古	1	2	5	
卷	1	2	8	
头胎	2	4	14	
当	1	2	6	
希律王	3	6	20	
耶稣生	3	5	26	
犹太	2	3	11	
伯利恒	3	8	23	
