pinyin	phoneme	syll	syll_n	letter_n	sound_n	
ya4bo2la1han3	ya4bo2la1han3	['ya', 'bo', 'la', 'han']	4	9	9	
de	de	['de']	1	2	2	
hou4yi4	h#4yi4	['hou', 'yi']	2	5	4	
da4wei4	da4w#4	['da', 'wei']	2	5	4	
zi3sun1	zi3swən1	['zi', 'sun']	2	5	6	
ye1su1	ye1su1	['ye', 'su']	2	4	4	
ji1du1	ji1du1	['ji', 'du']	2	4	4	
jia1pu3	jia1pu3	['jia', 'pu']	2	5	5	
yuan2wen2	ɥæn2wen2	['yuan', 'wen']	2	7	6	
dou1	d#1	['dou']	1	3	2	
zuo4	zuo4	['zuo']	1	3	3	
er2zi	er2zi	['er', 'zi']	2	4	4	
xia4	xia4	['xia']	1	3	3	
tong2	toŋ2	['tong']	1	4	3	
sheng1	$eŋ1	['sheng']	1	5	3	
yi3sa1	yi3sa1	['yi', 'sa']	2	4	4	
ya3ge4	ya3ge4	['ya', 'ge']	2	4	4	
you2da4	y#2da4	['you', 'da']	2	5	4	
he2	he2	['he']	1	2	2	
ta1de	ta1de	['ta', 'de']	2	4	4	
di4xiong1	di4xioŋ1	['di', 'xiong']	2	7	6	
cong2	coŋ2	['cong']	1	4	3	
ta1ma3	ta1ma3	['ta', 'ma']	2	4	4	
shi4	$i4	['shi']	1	3	2	
fa3lei1si1	fa3l#1si1	['fa', 'lei', 'si']	3	7	6	
xie4la1	xie4la1	['xie', 'la']	2	5	5	
xi1si1lun2	xi1si1lwən2	['xi', 'si', 'lun']	3	7	8	
ya4lan2	ya4lan2	['ya', 'lan']	2	5	5	
ya4mi3na2da2	ya4mi3na2da2	['ya', 'mi', 'na', 'da']	4	8	8	
na2shun4	na2$wən4	['na', 'shun']	2	6	6	
sa1men2	sa1men2	['sa', 'men']	2	5	5	
la3he2	la3he2	['la', 'he']	2	4	4	
bo0e1si1	bo0e1si1	['bo', 'e', 'si']	3	5	5	
lu4de2	lu4de2	['lu', 'de']	2	4	4	
e2bei4de2	e2b#4de2	['e', 'bei', 'de']	3	6	5	
ye1xi1	ye1xi1	['ye', 'xi']	2	4	4	
wang2	waŋ2	['wang']	1	4	3	
wu1li4ya4	wu1li4ya4	['wu', 'li', 'ya']	3	6	6	
qi1zi	qi1zi	['qi', 'zi']	2	4	4	
suo3luo2men2	suo3luo2men2	['suo', 'luo', 'men']	3	9	9	
luo2bo1an1	luo2bo1an1	['luo', 'bo', 'an']	3	7	7	
ya4bi3ya3	ya4bi3ya3	['ya', 'bi', 'ya']	3	6	6	
ya4sa1	ya4sa1	['ya', 'sa']	2	4	4	
yue1sha1fa3	ɥe1$a1fa3	['yue', 'sha', 'fa']	3	8	6	
yue1lan2	ɥe1lan2	['yue', 'lan']	2	6	5	
wu1xi1ya4	wu1xi1ya4	['wu', 'xi', 'ya']	3	6	6	
yue1tan3	ɥe1tan3	['yue', 'tan']	2	6	5	
ya4ha1si1	ya4ha1si1	['ya', 'ha', 'si']	3	6	6	
xi1xi1jia1	xi1xi1jia1	['xi', 'xi', 'jia']	3	7	7	
ma3na2xi1	ma3na2xi1	['ma', 'na', 'xi']	3	6	6	
ya4men2	ya4men2	['ya', 'men']	2	5	5	
yue1xi1ya4	ɥe1xi1ya4	['yue', 'xi', 'ya']	3	7	6	
bai3xing4	b#3xjəŋ4	['bai', 'xing']	2	7	6	
bei4	b#4	['bei']	1	3	2	
qia1	qia1	['qia']	1	3	3	
dao4	d#4	['dao']	1	3	2	
ba1bi3lun2	ba1bi3lwən2	['ba', 'bi', 'lun']	3	7	8	
shi2hou	$i2h#	['shi', 'hou']	2	6	4	
ye1ge1ni2ya3	ye1ge1ni2ya3	['ye', 'ge', 'ni', 'ya']	4	8	8	
zhi1	$i1	['zhi']	1	3	2	
hou4	h#4	['hou']	1	3	2	
